page_name,page_url,likes,link_url,whatsapp_number,duration_days,publisher_platforms,delivery_start,delivery_stop,ad_body,ad_image,score,reasons,flags,page_id,ad_id,collected_at
Rivoneed shop,https://www.facebook.com/61587227168249/,1853,https://rivoneed.com/products/pleated-d89,,22,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'MESSENGER', 'THREADS']",2026-03-11T07:00:00,2026-04-02T07:00:00,"👗 2026 Pre-Fall Preview｜European-inspired Pleated Sleeveless Dress Now Available
🍂 Solid Minimalism × Pleated Design × Oversized Fit—One piece previews next season's trends!

Sleeveless cut accentuates shoulders with clean lines, perfect for layering or solo wear in early fall

Vertical pleats create an elongating effect, flattering silhouettes while adding dimension

Round neckline offers timeless simplicity, flattering all face shapes for versatile styling

Relaxed fit accommodates diverse body types with unrestricted comfort

Solid color palette exudes European-American sophistication, effortlessly radiating minimalist chic

2026 Fall New Arrival—wear it first and stay ahead of the trends

🌟 Styling Inspiration:
Wear solo with sandals for laid-back vibes; layer over a long-sleeve shirt ",,68,"website-landing-page, active-22d, ng-cues:warri, category:dress, small-mid-1853, naira-pricing",,1008309712359565,2470753260113630,2026-08-28T09:13:53.802475+00:00
Loria Justin,https://www.facebook.com/loriajustinrealestate/,1273,https://api.whatsapp.com/send,+2348082719659,15,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'MESSENGER', 'WHATSAPP']",2026-08-11T07:00:00,2026-08-26T07:00:00,"If you’ve been planning to own land in Abuja while living abroad or living in Nigeria, this will be the safest investment you’ll make this year.

CITY VIEW PARK & RESORT, IDU DISTRICT, ABUJA

Cityview park & resort is a luxurious and serene residential estate located in Abuja, Nigeria’s capital city. Our estate offers a tranquil escape from the hustle and bustle of city life, while still providing easy access to key amenities and attractions and a loving vibriant community.
 
Location:  Idu district, Abuja. 
Title : FCDA CofO 

Plot prices: 
Outright Payment 
200sqms - 12 Million Naira 
300sqms - 18 Million Naira 
500sqms - 30 Million Naira 
1000sqms (Residential plot) - 60 Million Naira 
1000sqms (Commercial plot) - 100 Million Naira

Initial Deposit
200sqms - 750,000 Naira 
300sqms - 1 M",,68,"click-to-whatsapp, whatsapp-cta, wa:+2348082719659, active-15d, ng-cues:nigeria,abuja,naira, category:cap,hat, small-mid-1273, naira-pricing",non-ecom,1558552124379178,1230516105870009,2026-08-28T13:50:24.189322+00:00
Ijeawele Invest,https://www.facebook.com/ijeaweleinvest/,1365,https://ijeaweleinvest.com/,,16,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'MESSENGER', 'THREADS']",2026-03-16T07:00:00,2026-04-01T07:00:00,"Now, you can own or co-own an income-generating vehicle with as little as ₦200,000 or own the full income-generating vehicle, which is a smarter alternative to traditional savings!  

💰 Why Ijeawele?  
✅ You can start with as low as  ₦200,000
✅ We have the option of full ownership
✅ We guaranteed steady returns 
✅ We manage, maintain and operates the vehicles  

Ijeawele handles everything. From drivers to maintenance, and operations, so you can sit back and watch your investment grow.  

Clique is now live! 🚀 Visit www.ijeaweleinvest.com to sign up and start earning today!",,68,"website-landing-page, active-16d, ng-cues:₦, category:watch, small-mid-1365, naira-pricing",,115012288199489,969383545631697,2026-08-29T08:40:14.801798+00:00
Aioma Properties,https://www.facebook.com/chiandrproperties/,669,https://api.whatsapp.com/send,+2347032422126,46,"['FACEBOOK', 'INSTAGRAM']",2026-05-05T07:00:00,2026-06-20T07:00:00,"Downtown Lagos is a commercial hub where you can erect a school, mall, bank, fuel station, warehouse and so on.
Positioned within the same corridor as the Lekki Deep Sea Port and the Dangote Refinery.

This is where the future of business in Lagos is being built.

Welcome to Downtown Lagos Commercial City – Phase 2.

A new standard for visibility, scale, and opportunity.

500sqm — ₦60M
1000sqm — ₦100M

For inquiries, inspection and purchase, kindly contact Chioma. 
☎️ +2347032422126
 #Aiomaproperties 
#nigeriansindiaspora #LekkiRealEstate #LuxuryLiving #InvestmentOpportunity #LagosHomes #Realtor #DreamHome #realestatenigeriaexpert",,68,"click-to-whatsapp, whatsapp-cta, wa:+2347032422126, active-46d, ng-cues:nigeria,lagos,₦, category:hat, small-mid-669, naira-pricing",non-ecom,108206641067132,1217674320270231,2026-08-29T09:53:55.290704+00:00
Famk Apparel,https://www.facebook.com/famkapparel/,1622,https://api.whatsapp.com/send,,4,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'MESSENGER', 'THREADS']",2025-10-25T07:00:00,2025-10-29T07:00:00,"Last December, you said never again.
No more chasing machine guys.
No more delayed embroidery.
No more sleepless nights before delivery day.

You promised yourself this year would be different — and now, it can be.

At FAMK, we’ve done the heavy lifting for you.
Our Agbada Embroidery, Monogram Embroidery, and Digital Embroidery Designs are already stitched, detailed, and ready to go — just a click away.

Whether you’re in Lagos, Abuja, or anywhere across Nigeria — we’ve made it simple:
 • Lagos Pickup – serving the South-West, South-South, and South-East
 • Abuja Pickup – serving the North & Middle Belt

All you need to do is:
Click the link in our bio, pick your region, select your design, make payment, and it’s yours.
No delay. No stress. No excuses.

This Detty December, don’t let embro",,66,"click-to-whatsapp, whatsapp-cta, ng-cues:nigeria,lagos,abuja, category:fashion,agbada,belt, small-mid-1622",,1990191757925393,1343718394147296,2026-08-28T08:31:36.832178+00:00
Luxe Atelier,https://www.facebook.com/61580041830048/,684,https://luxlv.shop/,,30,"['FACEBOOK', 'INSTAGRAM']",2026-05-15T07:00:00,2026-06-14T07:00:00,"☎️📍Daddy I want this for Children’s Day 🥹😌
Contact us on WhatsApp 👇🛒

#coachbag #luxurybags #birthdaygiftideas #luxessefashionhub #bagchallange

.

.

.

.

.

.

.

coach bag
coach bags for women
luxury coach bag
original coach bag
designer handbag
luxury handbag nigeria
coach tote bag
coach shoulder bag
coach crossbody bag
coach tabby bag
coach purse
affordable luxury bags
premium ladies bag
boss babe handbag
soft leather bag
classy women accessories
rich aunty fashion
luxury girl aesthetic
expensive girl vibes
high quality handbags
fashion bags for ladies
trendy luxury bag
viral coach bag
coach bag outfit inspo
date night bag
birthday gift for her
luxury fashion nigeria
lagos luxury fashion
abuja fashion girl
benin luxury boutique

Extra hidden SEO words you can mix into captions/commen",,66,"website-landing-page, whatsapp-cta, active-30d, ng-cues:nigeria,lagos,abuja, category:fashion,boutique,shoe, small-mid-684",,781623228368588,1641875430263767,2026-08-28T08:31:38.887823+00:00
Blokes n divas.Original,https://www.facebook.com/blokesanddivas/,1819,https://api.whatsapp.com/send,,5,['INSTAGRAM'],2025-10-09T07:00:00,2025-10-14T07:00:00,"From soil to skyline — we stand tall, green and proud. Wear the colour of hope. 
Happy Independence Day, Nigeria

Rich Deep Teal Agbada silhouette,accented with metallic detailing, styled with matching pants

What you get:
Agbada
Inner Shirt
Pant

Model: @nnoruga_ 

Price: Available on request

To Order:

iMessage, Text or WhatsApp: +1(214)5457335 or +1 (817) 682-7473

Email:info@blokesndivas.com

Website: www.blokesndivas.com

#explore #blokesndivas #beyourownhastag #fashion #mensstyle #fyp #lifestyle",,66,"click-to-whatsapp, whatsapp-cta, ng-cues:nigeria,ng , category:fashion,agbada,oil, small-mid-1819",,36035464152,1526389475068447,2026-08-28T08:31:42.306267+00:00
JFashionEmpire,https://www.facebook.com/jfashionempire/,1136,https://api.whatsapp.com/send,,7,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK']",2026-07-20T07:00:00,2026-07-27T07:00:00,"Luxury isn't just what you wear. It's how you show up.
Premium fashion for men, women, and kids, carefully selected for those who love quality and class.

🇳🇬 Nationwide delivery across Nigeria. 

🌍 We also serve customers in the diaspora.

Shop with confidence. Look expensive without the stress.

Click Learn More or send us a message now.

https://chat.whatsapp.com/JFV950Lvex77BJve6oTvuC?s=cl&p=a&ilr=1",,66,"click-to-whatsapp, whatsapp-cta, ng-cues:nigeria, category:fashion,hat, small-mid-1136",,386315908631241,27561638346824347,2026-08-28T08:32:26.749176+00:00
Dr. Emeodi Affiliate v2 Franchise business strategist/coach,https://www.facebook.com/Digitalaffiliateempire/,32238,https://www.oluomachis.com/,,95,"['FACEBOOK', 'AUDIENCE_NETWORK', 'MESSENGER']",2026-05-25T07:00:00,2026-08-28T07:00:00,"The Dream: Owning a Business as the First Step to Freedom

- A business is more than a paycheck; it’s a vehicle for autonomy, creativity, and impact.

- When you own a business, you design your schedule, your culture, and your future.

- The mindset shift is simple: you’re not just chasing money, you’re building a life you love.

- Your dream business starts with a clear vision, a compelling mission, and a stubborn belief that you can figure it out.

- Small wins compound into big freedom: launch, learn, pivot, repeat. 

DR. EMEODI 
WWW.OLUOMACHIS.COM 
WHATSAPP +1617 510-8710",,66,"website-landing-page, whatsapp-cta, active-95d, ng-cues:ng , category:hat, small-mid-32238",,403305146200086,2176085723158204,2026-08-28T08:32:33.832541+00:00
Taja Hotels,https://www.facebook.com/tajahotels/,5,https://api.whatsapp.com/send,,79,"['INSTAGRAM', 'WHATSAPP']",2026-06-10T07:00:00,2026-08-28T07:00:00,"Escape to Lagos!
Get ready for a business trip or weekend getaway like no other! 
Book your Standard Room from ₦59,900 or upgrade to Premium from ₦76,750.
 Limited spots available at Adeniyi Jones Ikeja Lagos. 

Or indulge in luxury: Executive Room N135,000 | Arina Luxe N110,000
Book Now before they're gone!",,63,"click-to-whatsapp, whatsapp-cta, active-79d, ng-cues:lagos,₦,lag, category:boutique,cap,hat, small-mid-5, naira-pricing",non-ecom,861915907013530,27180018824971190,2026-08-28T08:40:01.635613+00:00
Beadsbyrummiez,https://www.facebook.com/61585377557578/,3510,https://api.whatsapp.com/send,,19,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'MESSENGER', 'WHATSAPP', 'THREADS']",2026-04-11T07:00:00,2026-04-30T07:00:00,"Men agbada bead for birthday photoshot :₦45,000

Want Same? WE ARE WAITING on WHATSAPP to take your ORDER 👉🏼09073247913. TO ORDER (LINK ON BIO) 

WE DELIVER WORLDWIDE 🇺🇸🇬🇧🇩🇪🇧🇯🇨🇦🇲🇦🇳🇬 

#beadsinuk #agbada #nigeriansindiaspora #coralbead #beadsinlagos

Music 🎶: I DO NOT HAVE RIGHT OVER THIS SONG 🙏🏼",,63,"click-to-whatsapp, whatsapp-cta, active-19d, ng-cues:nigeria,lagos,₦, category:agbada,hat, small-mid-3510, naira-pricing",non-ecom,890969894105122,1575465346865043,2026-08-29T07:35:41.968552+00:00
Sellout_with_tee,https://www.facebook.com/selloutwithteeee/,396,https://api.whatsapp.com/send,,18,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'MESSENGER', 'WHATSAPP']",2026-05-15T07:00:00,2026-06-02T07:00:00,"Yassssssssss! It's possible! You can spend 2000 naira to rake in millions with retargeting ads manager 
‎
‎and bring back all your lost customers just like Dshoecolletor did.
‎
‎We hopped on a call and set up a retargeting that made her 6 figures of which l'm sure she's hitting 7 figures by now because that ad converted like crazzzzzzzzzy. And guess what? She's not the only one.
‎
‎Other business owners who have joined my one-on- one sessions are also raking in millions with retargeting strategy. Someone made N12.2M in just 7 days of using my retargeting secret while another person made 3M just hours after I launched her ad. And that's not all, check out my page @sellout_with_tee for more reviews and how people have been cashing out massively in days with my secret recipe.
‎
‎Are you willi",,63,"click-to-whatsapp, whatsapp-cta, active-18d, ng-cues:naira, category:shoe,hat, small-mid-396, naira-pricing",non-ecom,104646475860363,1002477912724250,2026-08-28T14:09:51.914097+00:00
Asoebi by Ace Fabrics,https://www.facebook.com/100042583244299/,8469,https://api.whatsapp.com/send,,28,"['FACEBOOK', 'INSTAGRAM']",2026-07-31T07:00:00,2026-08-28T07:00:00,"Price: ₦180,000/5yrds & 3D Sego Gele ₦35,000

IG: @ace_fabrics

Royal Rave Candy Lace

Crafted for the bold and the beautiful, Royal Rave Candy Lace features intricate patterns, luminous embellishments, and a colour story that feels like a royal carnival. 

Now available at Ace Fabrics international,Gbagi Market.

📩 Send us a DM to order—before it sells out 
Call/WhatsApp: 09014818663 or tap a link in our bio !

🚀 Fast & Reliable Delivery:
📍 Nigeria: Within 24 hours
🌍 Worldwide: Delivery time varies by country.",,63,"click-to-whatsapp, whatsapp-cta, active-28d, ng-cues:nigeria,₦, category:bag,lace,hat, small-mid-8469, naira-pricing",non-ecom,352080102018313,930756440055691,2026-08-29T07:19:45.026995+00:00
Xclusivehairs_bynelly,https://www.facebook.com/onngirlrhextensions/,2709,https://api.whatsapp.com/send,,18,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'MESSENGER', 'WHATSAPP']",2026-07-08T07:00:00,2026-07-26T07:00:00,"You know you've found the one when you don't have to imagine how you'll look.

You already can.

Our 14"" Luna Wavy Brown Highlights is that kind of piece.

Elegant enough for special occasions.

Effortless enough for everyday luxury.

And beautiful enough to make every outfit feel complete.

14"" Luna Wavy Brown Highlights
6×6 HD | 400g | Layered

Price: ₦1,066,492

If you've been waiting for the perfect sign, this is it.

Send us a DM today before someone else falls in love with her first.",,63,"click-to-whatsapp, whatsapp-cta, active-18d, ng-cues:₦, category:wig,hair,hat, small-mid-2709, naira-pricing",non-ecom,107389579085699,1581022743734642,2026-08-29T08:04:29.160310+00:00
Swisstrade Securities Limited Security Doors,https://www.facebook.com/swisstradedoorsltd/,4325,https://www.swisstradezu.com/,+2349139378987,26,"['FACEBOOK', 'INSTAGRAM']",2026-03-02T08:00:00,2026-03-29T07:00:00,"You’ve invested in the best neighborhood and the most advanced cameras. But in the 60 seconds it takes for a breach to occur, those are just digital witnesses. Is your building’s final line of defense formidable?
 
At Swisstrade Doors, we have redefined what it means to be truly secured, with our doors as Guardian Masterpieces. 

Our doors boast of visible protection and are rated to withstand high-caliber threats without compromising a single line of your building’s architecture. 

OUR 50% PROMO IS STILL ON!

Customizable Options are available. All doors are available in all sizes, colours and specifications.

Visit our showroom to have a beautiful experience at
📍Swisstrade House, No. 1 Swisstrade Drive, Ikota First Gate, between Chevron and VGC, Lekki Expressway, Lagos, Nigeria.

We deli",,61,"website-landing-page, wa:+2349139378987, active-26d, ng-cues:nigeria,lagos,lag, category:hat, small-mid-4325",,656991554398614,26200855012882982,2026-08-28T13:50:18.944547+00:00
•• NY Atelier ••,https://www.facebook.com/100063302764394/,77677,https://api.whatsapp.com/send,,7,"['FACEBOOK', 'INSTAGRAM']",2025-10-15T07:00:00,2025-10-22T07:00:00,"✨ From Vision to Masterpiece ✨

Behind every powerful outfit lies a journey, a process where creativity meets craftsmanship. This design is a perfect example of how NY ATELIER turns an idea into a statement of identity.

1️⃣ The Concept – The Birth of a Design
It all began with a simple sketch. Clean lines and bold curves were carefully mapped, each stroke symbolizing motion, strength, and rhythm. The symmetry of the design was intentional, to mirror balance, harmony, and timeless elegance.

2️⃣ The Craft – Translating Paper Into Fabric
From sketchbook to atelier floor, the vision took on life. We selected a rich royal blue fabric for its authority, depth, and cultural prestige. The silhouette was cut into an agbada form, structured, elongated, and commanding, with exaggerated shoulders to",,58,"click-to-whatsapp, whatsapp-cta, ng-cues:ng , category:fashion,clothing,accessor",,102101784694390,1403538654715616,2026-08-28T08:31:36.126935+00:00
GuangZhou LiuHua Fashion Wholesale Market,https://www.facebook.com/gzliuhuafashion/,274694,https://api.whatsapp.com/send,,7,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'MESSENGER']",2025-10-30T07:00:00,2025-11-06T08:00:00,"Let’s check out the 5 fashion mystery boxes our friend from Nigeria just bought – all for only $1 each! 😲✨
“Want to get your own mystery box? DM us for Whatsapp +86018520148873

#fashionmysterybox #mysteryboxunboxing #sourcing",,58,"click-to-whatsapp, whatsapp-cta, ng-cues:nigeria,ng , category:fashion,hat",,114213726932708,1369818778034873,2026-08-28T08:32:19.785731+00:00
Beginnse,https://www.facebook.com/100088077707857/,6124,https://beginnse.com/products/rj,,34,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'MESSENGER', 'THREADS']",2026-06-27T07:00:00,2026-07-31T07:00:00,"🦺 ¡Riñonera Antirrobo para Actividades al Aire Libre – Ligera y Cómoda | ¡50% DE DESCUENTO por tiempo limitado! ✨

🔄 Protección antirrobo discreta – Llévala debajo de la ropa. Su diseño ultrafino permite ocultarla fácilmente bajo una camiseta o chaqueta, manteniendo tus objetos de valor protegidos mientras te desplazas.

🛡 Material impermeable y resistente al sudor – Fabricada con tejido de buceo de alta calidad, resistente al desgaste, transpirable e impermeable. Protege tu teléfono y tus pertenencias del sudor y la lluvia, ideal para actividades al aire libre.

💧 Amplio compartimento principal + bolsillo lateral + soporte para botella – El compartimento principal guarda fácilmente el móvil, la cartera, las llaves y los auriculares. El bolsillo lateral con cierre de velcro es perfecto par",,58,"website-landing-page, active-34d, category:lace, small-mid-6124, naira-pricing",,112628531677313,1538305978096186,2026-08-29T08:43:35.863507+00:00
